Location,Price,İlan Tarihi,İlan no,Net m²,Brüt m²,Oda Sayısı,Banyo Sayısı,Binadaki Kat Sayısı,Bulunduğu Kat,Krediye Uygun,Isıtma Tipi,Bina Yaşı,"Görüntülü Ev Gezintisi
?",Mobilya Durumu,Kullanım Durumu,Yapının Durumu,Depozito,Aidat,Kimden,Konut Şekli,Hayvan Dostu Patili Evler,Tapu Durumu,m²,Bölüm/Oda Sayısı,Kapalı Alan,Yapı Tipi,Dış Cephe,Zemin Etüdlü,Ada,Parsel,Otopark,Devren,Tavan Yüksekliği,Arsa Alanı,Takasa Uygun,Kat Yüksekliği,Yıldız Sayısı,Kapasite,Kiralama Süresi,İmar Durumu,Parselli
"Çeliktepe, Kağıthane
, İstanbul",21.000 TL,31 Mayıs 2024,5062348,35,50m²,1+0 (Stüdyo),1,10-20 arası,12,Hayır,Merkezi Sistem (Isı Payı Ölçer),5,?,Eşyalı (Mobilyalı),Boş,İkinci El,36.000 TL undefined,3.250 TL (aylık),Danışman,Ara Kat,Evet,,,,,,,,,,,,,,,,,,,,
"Gürsel, Kağıthane
, İstanbul",16.000 TL,24 Mayıs 2024,5076357,25,40m²,1+0 (Stüdyo),1,5,Kot 1,Hayır,Kalorifer (Doğalgaz),6-10 arası,?,Eşyalı (Mobilyalı),Boş,,,,Danışman,Ara Kat,Evet,,,,,,,,,,,,,,,,,,,,
"Kartaltepe, Bakırköy
, İstanbul",22.000 TL,23 Haziran 2024,5075697,100,105m²,2+1,1,4,3,Hayır,Kombi (Doğalgaz),36-40 arası,,,Boş,İkinci El,,150 TL (aylık),Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Alemdar, Fatih
, İstanbul",1.500.000 TL,23 Haziran 2024,5009131,,,,,4,,Hayır,Fancoil,40 ve üzeri,,,Boş,İkinci El,0 TL undefined,,Danışman,,,İskanı Alınmış,3243m²,,1250 (m²),Ahşap,Ahşap,Evet,54,28,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",150.000 TL,23 Haziran 2024,5025576,350,380m²,6+2,4,4,,Hayır,Kombi (Doğalgaz),21-25 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,300.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",55.000 TL,23 Haziran 2024,5025606,105,115m²,2+1,3,2,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,110.000 TL undefined,6.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",95.000 TL,23 Haziran 2024,5025602,260,280m²,4+1,3,4,,Hayır,Kombi (Doğalgaz),26-30 arası,,Eşyasız,Boş,İkinci El,190.000 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",90.000 TL,23 Haziran 2024,5025604,211,218m²,3+1,3,3,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,Boş,İkinci El,180.000 TL undefined,10.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",90.000 TL,23 Haziran 2024,5025560,211,218m²,3+1,3,3,,Hayır,Kombi (Doğalgaz),5,,Eşyasız,,İkinci El,180.000 TL,10.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",165.000 TL,23 Haziran 2024,5025575,600,985m²,5+2,3,3,,Hayır,Kombi (Doğalgaz),21-25 arası,,Eşyasız,,İkinci El,330.000 TL,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",50.000 TL,23 Haziran 2024,5025580,140,160m²,2+1,1,2,Bahçe katı,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,Boş,İkinci El,100.000 TL,6.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",120.000 TL,23 Haziran 2024,5025569,348,388m²,4+2,3,4,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,Boş,İkinci El,240.000 TL undefined,6.450 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",120.000 TL,23 Haziran 2024,5025545,348,388m²,4+2,3,4,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,,İkinci El,240.000 TL undefined,6.450 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",100.000 TL,23 Haziran 2024,5025607,211,218m²,3+1,3,3,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,Boş,İkinci El,200.000 TL,10.850 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",55.000 TL,23 Haziran 2024,5025592,105,115m²,2+1,2,4,Bahçe katı,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,110.000 TL undefined,6.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",100.000 TL,23 Haziran 2024,5025570,235,255m²,4+1,3,3,,Hayır,Kombi (Doğalgaz),5,,Eşyasız,,İkinci El,200.000 TL undefined,10.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",160.000 TL,23 Haziran 2024,5025558,348,388m²,6+1,3,4,,Hayır,Kombi (Doğalgaz),11-15 arası,,,,İkinci El,320.000 TL undefined,6.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kumköy, Sarıyer
, İstanbul",150.000 TL,23 Haziran 2024,5025588,330,350m²,3+2,3,4,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyalı (Mobilyalı),Boş,İkinci El,300.000 TL undefined,6.200 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",81.500 TL,23 Haziran 2024,5025556,270,300m²,5+1,5,3,,Hayır,Kombi (Doğalgaz),4,,Eşyasız,Boş,İkinci El,163.000 TL undefined,2.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",155.000 TL,23 Haziran 2024,5025550,330,380m²,4+3,4,5,,Hayır,Kombi (Doğalgaz),11-15 arası,,,Boş,İkinci El,310.000 TL undefined,17.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Uskumruköy, Sarıyer
, İstanbul",150.000 TL,23 Haziran 2024,5025584,260,305m²,4+1,2,2,,Hayır,Kombi (Doğalgaz),6-10 arası,,Eşyasız,,İkinci El,300.000 TL undefined,5.700 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zekeriyaköy, Sarıyer
, İstanbul",175.000 TL,23 Haziran 2024,5025577,495,550m²,5+2,5,4,,Hayır,Kombi (Doğalgaz),11-15 arası,,Eşyasız,Boş,İkinci El,350.000 TL,12.000 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Demirciköy, Sarıyer
, İstanbul",100.000 TL,23 Haziran 2024,5025596,270,300m²,5+1,2,4,,Hayır,Kombi (Doğalgaz),26-30 arası,,Eşyasız,Boş,İkinci El,200.000 TL,4.500 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15 Temmuz, Bağcılar
, İstanbul",120.000 TL,23 Haziran 2024,5075849,,,,,6,,Hayır,Yok,6-10 arası,,,,,0 TL,,,,,,520m²,,,,,,,,"Var (Ücretsiz, Açık)",,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aksaray, Fatih
, İstanbul",20.000 TL,23 Haziran 2024,1221066,84,85m²,2+1,1,5,3,Hayır,Kombi (Doğalgaz),5,,Eşyalı (Mobilyalı),Boş,İkinci El,,50 TL (aylık),Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Katip Kasım, Fatih
, İstanbul",25.000 TL,23 Haziran 2024,1795795,75,80m²,2+1,1,5,5,Hayır,Kombi (Doğalgaz),5,,Eşyalı (Mobilyalı),Boş,İkinci El,,50 TL (aylık),Danışman,En Üst Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamidiye, Kağıthane
, İstanbul",47.000 TL,23 Haziran 2024,5075806,250,,,,5,Yüksek Giriş,Hayır,Kombi (Doğalgaz),11-15 arası,,,Boş,,0 TL undefined,0 TL (aylık),,,,Kat İrtifakı,270m²,2,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",300.000 TL,23 Haziran 2024,4636235,250,349m²,4+1,4,20 ve üzeri,14,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Sadece Beyaz Eşya,Boş,Sıfır,320.000 TL,14.250 TL (aylık),Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bülbül, Beyoğlu
, İstanbul",22.000 TL,23 Haziran 2024,5011701,58,68m²,1+1,1,5,2,Hayır,Klima,1,,Eşyalı (Mobilyalı),Boş,,27.000 TL undefined,0 TL (aylık),,En Üst Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Merkez, Güngören
, İstanbul",16.000 TL,23 Haziran 2024,5075847,110,120m²,3+1,1,4,3,Hayır,Kombi (Doğalgaz),31-35 arası,,Eşyasız,Boş,,,,,Ara Kat,,,,,,,,,,,,,,,,,,,,,
"Akat, Beşiktaş
, İstanbul",42.000 TL,23 Haziran 2024,5075888,90,110m²,3+1,1,4,4,Hayır,Merkezi Sistem,40 ve üzeri,?,Eşyasız,Kiracılı,İkinci El,42.000 TL undefined,2.220 TL (aylık),Danışman,En Üst Kat,Evet,,,,,,,,,,,,,,,,,,,,
"Altayçeşme, Maltepe
, İstanbul",1.000.000 TL,23 Haziran 2024,5075879,65,,,,4,Giriş Katı,Hayır,Kombi (Doğalgaz),21-25 arası,,,Kiracılı,,0 TL undefined,0 TL (aylık),Danışman,,,,80m²,2,,,,,,,,Evet,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Göktürk Merkez, Eyüpsultan
, İstanbul",950.000 TL,23 Haziran 2024,5046663,,,,,,,Hayır,Klima,16-20 arası,,,Boş,İkinci El,0 TL,,,,,,290m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beştelsiz, Zeytinburnu
, İstanbul",350.000 TL,23 Haziran 2024,5076010,320,,,,,,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,,,Boş,,,,,,,Kat Mülkiyeti,350m²,2,,,,,,,,,,,,,,,,,
"Katip Kasım, Fatih
, İstanbul",80.000 TL,23 Haziran 2024,1229318,170,,,,,,Hayır,,,,,,,,,,,,,190m²,,,,,,,,,,,,,,,,,,
"Basınköy, Bakırköy
, İstanbul",32.500 TL,23 Haziran 2024,5075863,80,100m²,2+1,1,3,Giriş Katı,Hayır,,26-30 arası,,Eşyasız,Kiracılı,,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Yenibosna Merkez, Bahçelievler
, İstanbul",12.000 TL,23 Haziran 2024,5058595,,,,,1,,Hayır,Klima,16-20 arası,,,,,0 TL undefined,,,,,,80m²,,,,,,,,,,,,,,,,,,
"Feyzullah, Maltepe
, İstanbul",19.500 TL,23 Haziran 2024,5046822,105,120m²,3+1,1,3,1,Hayır,,31-35 arası,,Eşyasız,Boş,İkinci El,19.500 TL,0 TL (aylık),Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tarabya, Sarıyer
, İstanbul",2.000.000 TL,23 Haziran 2024,5058546,1000,1200m²,8+2,6 ve üzeri,4,,Hayır,Kombi (Doğalgaz),6-10 arası,?,Sadece Mutfak,Mülk Sahibi,İkinci El,,,Danışman,Fourlex,,,,,,,,,,,,,,,,,,,,,
"Fenerbahçe, Kadıköy
, İstanbul",76.490 TL,23 Haziran 2024,4837272,100,120m²,3+1,1,4,Müstakil,Hayır,Kombi (Doğalgaz),1,,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
"Konaklar, Beşiktaş
, İstanbul",44.000 TL,23 Haziran 2024,5047003,120,130m²,3+1,2,5,Giriş Katı,Hayır,Merkezi Sistem,21-25 arası,?,Eşyasız,Mülk Sahibi,İkinci El,90.000 TL undefined,2.140 TL (aylık),Danışman,Giriş Kat,Evet,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Merkez, Kağıthane
, İstanbul",28.000 TL,23 Haziran 2024,4987524,-,,,,,,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,,,,,0 TL,0 TL (aylık),,,,,66m²,1,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bahçeşehir 1. Kısım, Başakşehir
, İstanbul",24.000 TL,23 Haziran 2024,4988305,80,95m²,2+1,1,10-20 arası,7,Hayır,Merkezi Sistem (Isı Payı Ölçer),4,?,Eşyasız,Kiracılı,,,,Danışman,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Çobançeşme, Bahçelievler
, İstanbul",10.500 TL,22 Haziran 2024,1772474,65,70m²,1+1,1,4,Teras Kat,Hayır,Kombi (Doğalgaz),6-10 arası,?,Eşyasız,Boş,İkinci El,15.000 TL undefined,,Danışman,Teras Katı,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Barbaros, Üsküdar
, İstanbul",46.000 TL,22 Haziran 2024,5070719,100,110m²,3+1,1,4,Yüksek Giriş,Hayır,Kombi (Doğalgaz),31-35 arası,?,Eşyalı (Mobilyalı),Boş,İkinci El,0 TL undefined,0 TL (aylık),Danışman,Giriş Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gençosman, Güngören
, İstanbul",40.000 TL,23 Haziran 2024,5026456,100,,,,4,Zemin Kat,Hayır,,0,,,Boş,,,,Danışman,,,Kat Mülkiyeti,110m²,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gayrettepe, Beşiktaş
, İstanbul",40.000 TL,22 Haziran 2024,5045709,75,100m²,2+1,1,5,Kot 1,Hayır,Kombi (Doğalgaz),6-10 arası,?,Eşyalı (Mobilyalı),Boş,İkinci El,80.000 TL,200 TL (aylık),Danışman,Bahçe Katı,Evet,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",210.000 TL,22 Haziran 2024,4451388,190,221m²,3+1,3,20 ve üzeri,18,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Sadece Beyaz Eşya,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",300.000 TL,22 Haziran 2024,4451382,246,346m²,4+1,4,20 ve üzeri,20 ve üzeri,Hayır,Merkezi Sistem (Isı Payı Ölçer),0,?,Sadece Beyaz Eşya,Boş,Sıfır,,,Danışman,Ara Kat,,Kat Mülkiyeti,,,,,,,,,,,,,,,,,,,
"Nisbetiye, Beşiktaş
, İstanbul",285.000 TL,22 Haziran 2024,4987313,250,346m²,5+1,4,20 ve üzeri,15,Hayır,,0,?,Eşyasız,Boş,Sıfır,,,Danışman,Ara Kat,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yenibosna Merkez, Bahçelievler
, İstanbul",44.000 TL,22 Haziran 2024,5074674,,,,,,4,Hayır,,,,,,,8.750 TL,0 TL (aylık),,,,,200m²,3,,,,,,,,,,,,,,,,,
"Yenibosna Merkez, Bahçelievler
, İstanbul",22.000 TL,22 Haziran 2024,5074687,45,65m²,1+1,1,10-20 arası,6,Hayır,Merkezi Sistem (Isı Payı Ölçer),4,,Eşyalı (Mobilyalı),Boş,,0 TL,3 TL (aylık),,,,,,,,,,,,,,,,,,,,,,,
